iter	Logloss
0	0.4474379413
1	0.3201086769
2	0.2613687991
3	0.2286180973
4	0.1950681865
5	0.1609364554
6	0.1397065613
7	0.1274870917
8	0.1129884873
9	0.1063824565
10	0.08645952361
11	0.081433644
12	0.07546813705
13	0.07293848537
14	0.06939735695
15	0.06764200425
16	0.06516436894
17	0.06164908311
18	0.05929705283
19	0.05833140063
20	0.05706743527
21	0.05572388449
22	0.05460717686
23	0.05414719233
24	0.05202674763
25	0.05154533622
26	0.05113461913
27	0.04969629025
28	0.04864489473
29	0.04768887937
30	0.0468230554
31	0.04651857942
32	0.04555577853
33	0.04389944204
34	0.04368503506
35	0.04347614086
36	0.04280317306
37	0.04205965552
38	0.04073620167
39	0.04001276002
40	0.03941813744
41	0.03889640215
42	0.03838732128
43	0.03761524673
44	0.0372423278
45	0.03712161712
46	0.03700954147
47	0.03674004421
48	0.03659416075
49	0.03548481698
50	0.03538129204
51	0.03510005833
52	0.03498987341
53	0.03493492894
54	0.03482914771
55	0.03470374623
56	0.03463226044
57	0.03441170255
58	0.0343464978
59	0.03427140315
60	0.03421163037
61	0.03415596273
62	0.03399757869
63	0.03363071491
64	0.03356964563
65	0.0335149559
66	0.03300442128
67	0.03294991449
68	0.03287662352
69	0.03283190839
70	0.03279341075
71	0.03269724264
72	0.03260366068
73	0.03244199374
74	0.03238270714
75	0.03233483592
76	0.03229776326
77	0.03204936248
78	0.03192206102
79	0.03175837707
80	0.03171456527
81	0.03168015717
82	0.03148650273
83	0.03139137178
84	0.03134034417
85	0.03113856577
86	0.03100240585
87	0.03096558399
88	0.03087210791
89	0.03084066225
90	0.03076986843
91	0.03073961669
92	0.03040575277
93	0.03025795632
94	0.03015889509
95	0.03013547199
96	0.0300907596
97	0.03006766942
98	0.03004442246
99	0.03001265761
100	0.02998891997
101	0.02997032728
102	0.02994018175
103	0.02989774896
104	0.02987054494
105	0.02984583628
106	0.02981405759
107	0.02979001206
108	0.02976663922
109	0.02971769459
110	0.02969318498
111	0.02960855366
112	0.0295915197
113	0.02941675519
114	0.02939577991
115	0.02928363011
116	0.02927165515
117	0.02924027962
118	0.02922600197
119	0.0292084509
120	0.02904033235
121	0.02896268189
122	0.02894267664
123	0.02890519197
124	0.02889549959
125	0.02879889902
126	0.02877921604
127	0.02875412766
128	0.02873311594
129	0.02870125609
130	0.02869194741
131	0.02862717789
132	0.02860896612
133	0.02858349599
134	0.02853427243
135	0.02851815307
136	0.02850023934
137	0.02848288639
138	0.02847307291
139	0.02846142322
140	0.028440828
141	0.02841717086
142	0.02839894122
143	0.02837873264
144	0.02836628401
145	0.02835453277
146	0.02833546799
147	0.02830648982
148	0.02828808537
149	0.02828034691
150	0.02826442428
151	0.02824739531
152	0.02823091179
153	0.02821211436
154	0.02819398957
155	0.02816949064
156	0.02816882697
157	0.028154502
158	0.02814301393
159	0.02812290407
160	0.02810855979
161	0.02809414927
162	0.02808487828
163	0.02807411956
164	0.02806490644
165	0.02805641261
166	0.02804747828
167	0.02802590997
168	0.02794506461
169	0.02793327465
170	0.02790958238
171	0.02789264782
172	0.02788011014
173	0.02786493116
174	0.0278512217
175	0.02782991234
176	0.02782167854
177	0.027813926
178	0.02779723114
179	0.02768022753
180	0.02765163089
181	0.02764022927
182	0.02761889699
183	0.02760143462
184	0.02758768904
185	0.0275768972
186	0.027548421
187	0.02754230146
188	0.02751132843
189	0.02750140607
190	0.02749209359
191	0.02747927409
192	0.02747011645
193	0.02745839716
194	0.02740043159
195	0.02738940223
196	0.02737301571
197	0.02736197595
198	0.02734733813
199	0.02733466534
200	0.02730740585
201	0.02728766452
202	0.02727735941
203	0.02726075111
204	0.0272524374
205	0.02722567112
206	0.02721241941
207	0.02720476046
208	0.02713699157
209	0.02712373364
210	0.02711641622
211	0.02711630853
212	0.02706911185
213	0.02706083595
214	0.02704145189
215	0.02703291928
216	0.02702318091
217	0.02700889551
218	0.0269946257
219	0.02698595257
220	0.02697179348
221	0.02696567699
222	0.02695487349
223	0.02695483523
224	0.02694842495
225	0.02693119339
226	0.02692140929
227	0.02691530693
228	0.02687308644
229	0.02687294712
230	0.02685535858
231	0.02684825805
232	0.02683571286
233	0.0268235149
234	0.02681437379
235	0.02679780631
236	0.02679005458
237	0.02677567154
238	0.02677069801
239	0.02671188064
240	0.0266897326
241	0.02667520798
242	0.02661856804
243	0.02661000099
244	0.02659346021
245	0.02658405707
246	0.02656834475
247	0.02655664892
248	0.02654707144
249	0.02653160275
250	0.02651383176
251	0.02649846522
252	0.0264827034
253	0.02646580772
254	0.02645511693
255	0.02643930218
256	0.02642565094
257	0.0264128414
258	0.02640276004
259	0.0263907943
260	0.0263753917
261	0.02636857166
262	0.02636192963
263	0.02635062701
264	0.02634034851
265	0.02632200364
266	0.02630593553
267	0.02629440174
268	0.02629428171
269	0.02629422394
270	0.02629416711
271	0.02627829256
272	0.02626895285
273	0.02625646411
274	0.02625593985
275	0.02625589922
276	0.02625587959
277	0.02625588293
278	0.02625558426
279	0.02623943686
280	0.02620065102
281	0.02619424389
282	0.02619080914
283	0.02616365421
284	0.02616362443
285	0.02613402015
286	0.02611382041
287	0.02611377982
288	0.02611375589
289	0.02610975786
290	0.02609270326
291	0.02607091203
292	0.02605977883
293	0.02605525003
294	0.02605315383
295	0.02604163509
296	0.02603526298
297	0.02603512085
298	0.02602464679
299	0.02602043317
300	0.02600644443
301	0.02600203059
302	0.02598509802
303	0.02596410957
304	0.02595352987
305	0.02593596564
306	0.02592442632
307	0.02591395349
308	0.0258639294
309	0.02585443316
310	0.02580573867
311	0.02579350123
312	0.02576351675
313	0.02572870635
314	0.02571798008
315	0.02569374947
316	0.0256937262
317	0.02569369015
318	0.02569363905
319	0.02569355113
320	0.02569347634
321	0.02569347322
322	0.02569339322
323	0.02569334565
324	0.02568607858
325	0.02566888133
326	0.02566388588
327	0.02565214682
328	0.02565214498
329	0.02565212529
330	0.02565207085
331	0.02565206794
332	0.02564753602
333	0.02563911249
334	0.0256240698
335	0.02561487536
336	0.02560243709
337	0.02559685329
338	0.02559069806
339	0.02557733968
340	0.02556563857
341	0.02555797364
342	0.02554702526
343	0.02553650084
344	0.02552196311
345	0.02551610279
346	0.02551585202
347	0.02551583593
348	0.02550583659
349	0.02549173363
350	0.02549142855
351	0.02547837468
352	0.02546536023
353	0.02543717107
354	0.02542551538
355	0.02542453114
356	0.02542394717
357	0.02539082643
358	0.02536028429
359	0.02535203655
360	0.02534057624
361	0.02533027252
362	0.0253184234
363	0.02531535501
364	0.02531528505
365	0.02530875021
366	0.02529784978
367	0.02528784856
368	0.02528777443
369	0.0252806105
370	0.02527395607
371	0.02526528918
372	0.02526472623
373	0.02525434874
374	0.0252429388
375	0.02523574432
376	0.02523342165
377	0.02521674532
378	0.02520056858
379	0.02518291176
380	0.02517172867
381	0.02517027372
382	0.02515643196
383	0.02514958765
384	0.02514268061
385	0.02513347909
386	0.02512703943
387	0.02511457375
388	0.02511205579
389	0.02510448103
390	0.02509503634
391	0.02508803279
392	0.02505906367
393	0.02504419275
394	0.02503199871
395	0.02501600635
396	0.02500556887
397	0.02499063606
398	0.02497580513
399	0.02497578422
400	0.02495626139
401	0.02494252739
402	0.02493234532
403	0.02492416822
404	0.02491749086
405	0.02491187588
406	0.02491135934
407	0.02490859417
408	0.02489680281
409	0.02488801644
410	0.02487867308
411	0.0248727512
412	0.02486428636
413	0.0248636426
414	0.0248504105
415	0.02484383318
416	0.02484115707
417	0.0248293766
418	0.02481792748
419	0.02481057649
420	0.02479986313
421	0.02479863996
422	0.02478822167
423	0.02477022571
424	0.02476146495
425	0.02474334483
426	0.02473018786
427	0.02472949156
428	0.02472482771
429	0.02471604793
430	0.02470693505
431	0.02469675071
432	0.02469675007
433	0.02468682212
434	0.02467545534
435	0.02467540684
436	0.02466939695
437	0.02466102617
438	0.02466025636
439	0.02465231387
440	0.02465229861
441	0.02464120362
442	0.02463214559
443	0.02463155032
444	0.02462576397
445	0.02461803529
446	0.02461392979
